n,metodo,tempo_us
100000,selecao,4418744
100000,insercao,5640489
100000,merge,10085
10000,selecao,48232
10000,insercao,129589
10000,merge,1250
20000,selecao,286352
20000,insercao,378573
20000,merge,1487
30000,selecao,403205
30000,insercao,509936
30000,merge,2165
40000,selecao,732874
40000,insercao,1108481
40000,merge,3859
50000,selecao,1231705
50000,insercao,1391484
50000,merge,3701
60000,selecao,1598033
60000,insercao,1999831
60000,merge,5298
70000,selecao,2170971
70000,insercao,2771529
70000,merge,5620
80000,selecao,2878603
80000,insercao,3564514
80000,merge,6036
90000,selecao,3603931
90000,insercao,4426063
90000,merge,6830
