n,metodo,tempo_us
100000,selecao,4404839
100000,insercao,5442862
100000,merge,12375
10000,selecao,44873
10000,insercao,54371
10000,merge,1518
20000,selecao,195760
20000,insercao,222876
20000,merge,2448
30000,selecao,405241
30000,insercao,482168
30000,merge,3539
40000,selecao,718487
40000,insercao,879134
40000,merge,5018
50000,selecao,1120449
50000,insercao,1349410
50000,merge,6640
60000,selecao,1581831
60000,insercao,1938399
60000,merge,7180
70000,selecao,2170632
70000,insercao,2694052
70000,merge,8448
80000,selecao,2837903
80000,insercao,3477429
80000,merge,9951
90000,selecao,3536528
90000,insercao,4394602
90000,merge,10850
