n,metodo,tempo_us
100000,selecao,4244094
100000,insercao,162
100000,merge,7598
10000,selecao,44070
10000,insercao,32
10000,merge,1446
20000,selecao,175412
20000,insercao,33
20000,merge,2137
30000,selecao,397602
30000,insercao,61
30000,merge,3272
40000,selecao,674824
40000,insercao,67
40000,merge,4422
50000,selecao,1067151
50000,insercao,87
50000,merge,5215
60000,selecao,1522875
60000,insercao,152
60000,merge,4757
70000,selecao,2103572
70000,insercao,131
70000,merge,5211
80000,selecao,2704452
80000,insercao,141
80000,merge,5958
90000,selecao,3464337
90000,insercao,151
90000,merge,6713
